"dmd_type","dmd_id","dmd_name","bnf_code"
"VMP",324509007,"Clofazimine 100mg capsules","0501100C0AAAAAA"
"AMP",28301211000001108,"Clofazimine 100mg capsules","0501100C0AAAAAA"
"VMP",376085005,"Clofazimine 50mg capsules","0501100C0AAACAC"
"AMP",29876911000001104,"Clofazimine 50mg capsules","0501100C0AAACAC"
"VMP",324506000,"Dapsone 50mg tablets","0501100H0AAAFAF"
"AMP",59511000001109,"Dapsone 50mg tablets","0501100H0AAAFAF"
"AMP",631311000001105,"Dapsone 50mg tablets","0501100H0AAAFAF"
"AMP",468411000001101,"Dapsone 50mg tablets","0501100H0AAAFAF"
"AMP",28096111000001108,"Dapsone 50mg tablets","0501100H0AAAFAF"
"AMP",23860011000001104,"Dapsone 50mg tablets","0501100H0AAAFAF"
"AMP",33765811000001108,"Dapsone 50mg tablets","0501100H0AAAFAF"
"AMP",30019511000001104,"Dapsone 50mg tablets","0501100H0AAAFAF"
"AMP",38864211000001104,"Dapsone 50mg tablets","0501100H0AAAFAF"
"AMP",38322911000001104,"Dapsone 50mg tablets","0501100H0AAAFAF"
"AMP",38842711000001104,"Dapsone 50mg tablets","0501100H0AAAFAF"
"AMP",29801411000001108,"Dapsone 50mg tablets","0501100H0AAAFAF"
"AMP",23352711000001104,"Dapsone 50mg tablets","0501100H0AAAFAF"
"AMP",776511000001102,"Dapsone 50mg tablets","0501100H0AAAFAF"
"AMP",35631611000001100,"Dapsone 50mg tablets","0501100H0AAAFAF"
"AMP",22048211000001100,"Dapsone 50mg tablets","0501100H0AAAFAF"
"VMP",324507009,"Dapsone 100mg tablets","0501100H0AAAHAH"
"AMP",458911000001103,"Dapsone 100mg tablets","0501100H0AAAHAH"
"AMP",899411000001100,"Dapsone 100mg tablets","0501100H0AAAHAH"
"AMP",792311000001101,"Dapsone 100mg tablets","0501100H0AAAHAH"
"AMP",28095911000001104,"Dapsone 100mg tablets","0501100H0AAAHAH"
"AMP",23967011000001104,"Dapsone 100mg tablets","0501100H0AAAHAH"
"AMP",33766011000001104,"Dapsone 100mg tablets","0501100H0AAAHAH"
"AMP",30019711000001100,"Dapsone 100mg tablets","0501100H0AAAHAH"
"AMP",38864011000001104,"Dapsone 100mg tablets","0501100H0AAAHAH"
"AMP",35941411000001104,"Dapsone 100mg tablets","0501100H0AAAHAH"
"AMP",38842911000001104,"Dapsone 100mg tablets","0501100H0AAAHAH"
"AMP",15095311000001108,"Dapsone 100mg tablets","0501100H0AAAHAH"
"AMP",23352911000001100,"Dapsone 100mg tablets","0501100H0AAAHAH"
"AMP",35631411000001104,"Dapsone 100mg tablets","0501100H0AAAHAH"
"AMP",22048411000001104,"Dapsone 100mg tablets","0501100H0AAAHAH"
"VMP",8430011000001105,"Dapsone 50mg/5ml oral suspension","0501100H0AAALAL"
"AMP",8419511000001103,"Dapsone 50mg/5ml oral suspension","0501100H0AAALAL"
"VMP",10193511000001104,"Thalidomide 50mg tablets","0501100J0AAAIAI"
"AMP",10193811000001100,"Thalidomide 50mg tablets","0501100J0AAAIAI"
"AMP",20886711000001108,"Thalidomide 50mg tablets","0501100J0AAAIAI"
"AMP",22652611000001108,"Talidex 25mg tablets","0501100J0BCAAAJ"
